superinstance-wiki|2026-05-09T23:39:55Z|2026-05-21T03:18:02Z|The fleet's knowledge base — catalog, indexes, and visual exploration of all SuperInstance repositories|Python|false|false
CognitiveEngine|2025-12-26T04:40:43Z|2026-05-21T03:08:35Z|Core cognitive processing engine.|Python|false|false
plato-training|2026-05-13T23:53:10Z|2026-05-21T01:13:51Z|PLATO Training Rooms — LoRA adapters with lifecycle (Active/Superseded/Retracted). Predict before you train.|Python|false|false
triplet-miner|2026-05-20T21:42:27Z|2026-05-21T00:54:39Z|Mine (anchor, positive, negative) triplets from git history for contrastive learning|Python|false|false
eisenstein-embed|2026-05-20T19:58:44Z|2026-05-21T00:54:30Z|Enhanced static embeddings with 5-layer matching cascade. Drop-in Model2Vec enhancement with TUTOR bitvector matching, domain-aware SIF, deadband caching, and SplineLinear quantization.|Python|false|false
device-router|2026-05-20T21:39:55Z|2026-05-21T00:54:19Z|Heterogeneous compute router — auto-detect CUDA, iGPU, CPU, NPU and route ML workloads optimally|Python|false|false
swarm-rooms|2026-05-21T00:51:10Z|2026-05-21T00:51:13Z|Extracted from plato-training|Python|false|false
commit-predictor|2026-05-21T00:51:06Z|2026-05-21T00:51:09Z|Extracted from plato-training|Python|false|false
agent-field|2026-05-21T00:51:02Z|2026-05-21T00:51:06Z|Extracted from plato-training|Python|false|false
collective-ai|2026-05-21T00:50:58Z|2026-05-21T00:51:02Z|Extracted from plato-training|Python|false|false
tensor-spline|2026-05-14T01:48:51Z|2026-05-21T00:45:39Z|Compressed neural network layers — Eisenstein lattice splines and low-rank factorization|Python|false|false
oracle1-workspace|2026-04-13T02:13:40Z|2026-05-20T23:25:47Z|Oracle1 workspace — config, memory, prompts, logs|Python|false|false
training-throttle|2026-05-20T23:20:56Z|2026-05-20T23:20:59Z||Python|false|false
flux-engine-c|2026-05-19T22:54:14Z|2026-05-20T23:07:28Z|Single-header C constraint engine — #define FLUX_ENGINE_IMPLEMENTATION. Check, fracture, sediment, 10 presets. 250M checks/sec.|C|false|false
flux-lib-py|2026-05-19T22:54:01Z|2026-05-20T23:07:25Z|Unified constraint engine library — from flux_lib import ConstraintEngine. 83 tests, 10 presets, thermodynamics.|Python|false|false
micro-onnx|2026-05-20T21:46:19Z|2026-05-20T23:07:02Z|ONNX export + benchmark pipeline for micro-models. 186x speedup over PyTorch CPU.|Python|false|false
plato-core|2026-05-20T21:19:39Z|2026-05-20T23:06:06Z|Foundation types and mesh registry for the SuperInstance ecosystem. Standalone, auto-discovers plugins.|Python|false|false
SuperInstance|2026-04-11T19:38:31Z|2026-05-20T21:29:55Z|🌊 PLATO — Rooms that think. Tiles that remember. Agents that learn. The public face of the Cocapn fleet.|HTML|false|false
constraint-theory-py|2026-05-13T17:36:37Z|2026-05-20T20:52:57Z|Python constraint theory library (v0.3.0) — Eisenstein integers, constraint satisfaction, simulation-first prediction. 167 tests.|Python|false|false
deadband-rs|2026-05-20T16:50:47Z|2026-05-20T20:52:15Z|Deadband detection and compression for fleet communication — BMA, Fibonacci splines, Eisenstein snap, HPDF sampling|Rust|false|false
OpenShell|2026-05-20T05:00:44Z|2026-05-20T17:42:41Z|OpenShell is the safe, private runtime for autonomous AI agents.|Rust|true|false
forgemaster|2026-04-14T17:40:11Z|2026-05-20T16:50:29Z|⚒️ Forgemaster — Constraint Theory migration specialist. Takes float code and forges it into exact geometric steel. Side-by-side proof builder.|Rust|false|false
AI-Writings|2026-03-08T19:04:40Z|2026-05-20T07:59:51Z|A collection of writings by my AI when I tell it to take a break and imagine my projects stories|Python|false|false
flux-check-js|2026-05-19T22:22:57Z|2026-05-20T06:54:02Z|Exact constraint checking, fracture-coalesce, and sediment layers. Zero-dep TypeScript/ESM.|TypeScript|false|false
signal-chain-integration|2026-05-20T05:50:04Z|2026-05-20T05:53:52Z|Signal chain integration crates for OpenShell fleet|Rust|false|false
openshell-pythagorean48|2026-05-20T05:47:05Z|2026-05-20T05:47:28Z|OpenShell wrapper re-exporting pythagorean48-codes (48-directional trust encoding)|Rust|false|false
flux-genome-py|2026-05-19T22:23:01Z|2026-05-20T05:27:35Z|Genetic expression engine — 25 genes, 5 domains, genome FIXED, expression ADAPTIVE.|Python|false|false
flux-hyperbolic-py|2026-05-19T22:22:59Z|2026-05-20T05:27:34Z|Poincaré ball geometry for model capability routing. Frechet mean, task routing, fleet consensus.|Python|false|false
flux-check-py|2026-05-19T22:52:32Z|2026-05-20T05:27:32Z|Python CLI for exact constraint checking — pip install, 6 industry presets, 74 tests|Python|false|false
openshell-compatibility-audit|2026-05-20T05:21:17Z|2026-05-20T05:21:19Z|Categorizes all SuperInstance repos for OpenShell integration — native, wrapper, backend, tool, deprecated|N/A|false|false
